DestAct,NbTransf,TimePT,WalkingTimePT,WaitingTimePT,CostPT,CostCar,TimeCar,NbHousehold,NbChild,NbCar,NbMoto,NbComp,Internet,NbSmartPhone,HouseType,YearsInHouse,Income,Gender,BirthYear,Mothertongue,FamilSitu,OccupStat,SocioProfCat,Education,HalfFareST,LineRelST,GenAbST,AreaRelST,OtherST,CarAvail,MarginalCostPT,TripPurpose,TypeCommune,frequency,NbTrajects,FreqCarPar,FreqTrainPar,FreqOtherPar,FreqTripHouseh,Region,distance_km,Choice,InVehicleTime,ModeToSchool,ReportedDuration,age,Weight
4,1,29,12,0,6.2,0.92,9,4,2,4,1,1,2,-1,1,30,4,1,1941,2,3,9,1,3,2,2,2,2,2,1,6.2,3,4,1,1,1,3,2,3,1,9.0,1,17,4,10,69,0.0003213
7,0,0,5,0,0.0,0.14,1,4,2,4,1,1,2,-1,1,30,4,1,1941,2,3,9,1,3,2,2,2,2,2,1,0.0,3,4,1,1,1,3,2,3,1,0.8,2,-1,4,10,69,0.0003213
1,2,71,32,4,4.8,1.06,14,4,2,4,1,1,2,-1,1,30,4,1,1941,2,3,9,1,3,2,2,2,2,2,1,4.8,1,4,1,1,1,3,2,3,1,11.0,1,35,4,-1,69,0.0003213
1,3,90,1,38,6.2,0.42,5,4,2,4,1,1,2,-1,1,30,4,1,1941,2,3,9,1,3,2,2,2,2,2,1,6.2,1,4,1,1,1,3,2,3,1,3.0,1,51,4,7,69,0.0003213
1,4,180,71,41,26.4,4.43,45,2,0,2,0,1,1,0,1,30,4,1,1954,2,2,1,3,3,2,2,2,2,2,1,26.4,1,4,1,3,1,2,2,4,1,44.5,1,68,4,75,56,0.000409116
1,10,312,58,51,59.6,14.03,93,2,0,2,0,1,1,0,1,30,4,1,1954,2,2,1,3,3,2,2,2,2,2,1,59.6,1,4,1,3,1,2,2,4,1,135.5,1,203,4,100,56,0.000409116
1,4,181,97,15,16.2,2.07,24,4,2,2,0,1,1,0,1,10,4,1,1968,2,1,1,3,6,2,2,2,2,2,1,16.2,-1,4,1,4,2,1,2,4,1,20.0,1,69,5,60,42,0.000109132
10,2,95,50,8,9.6,2.84,27,4,0,2,0,1,1,0,1,10,4,1,1968,2,3,1,3,6,2,2,2,2,2,1,9.6,3,4,1,2,2,1,2,4,1,28.0,1,37,5,30,42,0.000109132
1,5,126,21,12,9.2,2.7,26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,2,-1,9.2,1,4,1,2,-2,-2,-2,-2,1,28.0,1,93,-2,30,-1,0.000160139
1,2,184,94,10,20.0,2.57,30,1,0,1,0,1,1,0,1,10,3,2,1966,2,1,1,6,3,2,2,2,2,2,1,20.0,-1,4,1,5,3,1,3,1,1,22.0,1,80,4,65,44,0.000367986
1,2,162,98,31,8.8,0.78,10,5,3,2,1,2,1,0,2,15,5,2,1993,2,6,8,6,2,2,1,2,2,2,3,0.0,2,4,1,2,3,1,2,2,1,7.0,1,33,4,20,17,0.002195453
8,3,111,41,14,9.6,1.44,19,5,3,2,1,2,1,0,2,15,5,2,1993,2,6,8,6,2,2,1,2,2,2,3,0.0,3,4,1,2,3,1,2,2,1,16.5,1,56,4,50,17,0.002195453
8,5,182,80,30,12.4,0.94,12,5,3,2,1,2,1,0,2,15,5,2,1993,2,6,8,6,2,2,1,2,2,2,3,0.0,3,4,1,2,3,1,2,2,1,11.0,1,72,4,10,17,0.002195453
1,5,200,80,12,30.4,2.33,26,5,3,2,1,2,1,0,1,15,5,1,1959,2,1,1,1,4,1,2,2,2,2,1,15.2,2,4,1,3,3,2,2,3,1,24.5,1,108,3,40,51,0.000109132
7,4,118,43,10,11.0,3.28,33,4,0,3,0,1,1,1,1,22,5,2,1956,2,3,2,5,3,2,2,2,2,2,1,11.0,3,4,1,2,4,1,1,3,1,30.0,1,65,3,45,54,0.000367986
1,3,89,29,9,11.0,3.26,34,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,2,-1,11.0,1,4,1,2,-2,-2,-2,-2,1,31.0,1,51,-2,60,-1,0.000109132
2,1,50,25,0,4.8,1.64,16,2,-1,2,2,1,1,0,1,1,4,2,1980,2,2,2,6,5,2,2,2,2,2,1,4.8,1,4,1,1,3,3,3,3,1,15.0,1,25,3,20,30,0.000232084
1,2,63,21,7,4.8,1.62,16,2,-1,2,2,1,1,0,1,1,4,2,1980,2,2,2,6,5,2,2,2,2,2,1,4.8,1,4,1,1,3,3,3,3,1,16.0,1,35,3,20,30,0.000232084
1,5,145,54,19,14.0,1.26,14,4,0,3,2,3,1,1,1,5,5,1,1957,1,3,1,1,3,2,2,2,2,2,1,14.0,-1,4,1,3,2,2,3,3,1,14.2,1,72,1,15,53,0.000409116
8,5,153,49,31,21.0,3.06,33,2,0,2,0,1,1,0,1,32,3,1,1939,1,2,9,3,6,1,2,2,2,2,1,10.5,3,4,1,3,1,1,1,3,1,31.0,1,73,4,70,71,8.57e-05
1,4,135,72,11,15.6,3.11,33,4,2,2,1,1,1,1,1,7,6,2,1964,1,3,2,6,5,1,2,2,2,1,1,7.8,2,4,1,4,1,4,4,3,1,31.0,1,52,4,61,46,9.82e-05
9,0,0,128,0,0.0,0.34,2,4,2,2,1,1,1,1,1,7,6,2,1964,1,3,2,6,5,1,2,2,2,1,1,2.2,3,4,1,2,1,4,4,3,1,1.4,1,-1,4,10,46,9.82e-05
8,2,232,131,40,11.8,2.23,29,3,2,1,0,1,1,0,1,8,3,2,1968,2,4,2,4,3,2,2,2,2,2,1,11.8,3,4,1,3,3,2,2,3,1,22.5,1,61,8,30,42,0.000367986
8,0,0,27,0,0.0,0.14,1,3,2,1,0,1,1,0,1,8,3,2,1968,2,4,2,4,3,2,2,2,2,2,1,0.0,3,4,1,1,3,2,2,3,1,0.4,2,-1,8,10,42,0.000367986
4,2,98,47,9,3.0,0.42,5,2,0,1,0,0,2,0,1,35,2,1,1940,2,2,9,5,2,2,2,2,2,2,1,3.0,3,4,1,1,-1,-1,-1,-1,1,3.5,1,42,3,15,70,0.001285365
8,0,11,9,0,2.2,0.15,2,2,0,1,0,0,2,0,1,35,2,1,1940,2,2,9,5,2,2,2,2,2,2,1,2.2,3,4,1,1,-1,-1,-1,-1,1,0.7,2,2,3,10,70,0.001285365
10,0,15,15,0,0.0,0.32,3,2,0,1,0,0,2,0,1,35,2,1,1940,2,2,9,5,2,2,2,2,2,2,1,0.0,3,4,1,1,-1,-1,-1,-1,1,1.1,2,0,3,15,70,0.001285365
4,2,131,92,5,12.4,1.62,15,4,2,2,1,2,1,2,1,2,5,1,1976,3,1,1,3,3,2,2,2,2,2,1,12.4,3,4,1,2,4,1,1,3,1,16.5,1,34,4,30,34,0.000967286
4,5,213,89,53,24.8,4.93,39,4,2,2,1,2,1,2,1,2,5,1,1976,3,1,1,3,3,2,2,2,2,2,1,24.8,3,4,1,2,4,1,1,3,1,54.0,1,71,4,60,34,0.000967286
1,5,159,98,11,43.2,3.22,28,2,0,2,0,1,1,0,1,2,6,1,1973,2,2,1,2,7,2,2,2,2,2,1,43.2,2,4,1,3,4,2,1,3,1,32.5,1,50,3,40,37,0.000378621
1,5,194,82,22,19.2,4.87,47,4,0,2,1,3,1,0,1,15,5,2,1958,2,3,2,6,5,1,2,2,2,2,1,9.6,2,4,1,4,2,2,2,3,1,51.5,1,90,3,75,52,9.82e-05
1,4,126,60,12,13.2,2.57,26,4,0,2,1,3,1,0,1,15,5,2,1958,2,3,2,6,5,1,2,2,2,2,1,6.6,2,4,1,3,2,2,2,3,1,27.0,1,54,3,55,52,9.82e-05
4,3,69,27,7,4.8,0.41,5,4,2,2,-1,2,1,4,1,10,4,2,1971,2,3,2,6,3,2,2,2,2,2,1,4.8,3,4,1,1,1,2,1,2,1,4.5,1,35,3,10,39,0.00087004
8,3,123,40,21,18.4,0.29,3,4,2,2,-1,2,1,4,1,10,4,2,1971,2,3,2,6,3,2,2,2,2,2,1,18.4,3,4,1,1,1,2,1,2,1,3.0,1,62,3,5,39,0.00087004
9,2,99,49,9,3.0,0.63,8,2,-1,2,-1,2,1,1,1,22,4,1,1941,2,2,9,8,6,1,2,2,2,2,1,2.2,3,4,1,1,-1,-1,-1,4,1,5.5,1,41,4,15,69,8.57e-05
4,1,48,19,3,4.8,1.61,17,2,-1,2,-1,2,1,1,1,22,4,1,1941,2,2,9,8,6,1,2,2,2,2,1,2.4,3,4,1,1,-1,-1,-1,4,1,15.0,1,26,4,25,69,8.57e-05
8,4,186,52,145,14.0,3.54,31,2,-1,2,-1,2,1,-1,1,22,4,2,1943,2,2,9,8,5,1,2,2,2,2,1,7.0,3,4,1,2,-1,2,-1,4,1,27.5,1,-1,-1,30,67,7.71e-05
7,3,61,21,7,6.2,1.67,15,2,0,2,0,2,1,0,1,17,5,1,1951,2,2,9,2,6,2,2,2,2,2,1,6.2,3,4,1,1,2,1,3,3,1,16.0,1,33,4,30,59,0.000109132
4,2,73,27,9,6.2,0.61,8,2,0,2,0,2,1,0,1,17,5,1,1951,2,2,9,2,6,2,2,2,2,2,1,6.2,3,4,1,1,2,1,3,3,1,6.5,1,37,4,10,59,0.000109132
3,3,81,20,9,8.8,3.05,32,5,2,2,0,3,1,1,1,20,4,2,1991,2,6,8,8,4,1,1,2,2,2,3,4.4,1,4,1,2,4,-1,-1,-1,1,29.0,0,52,3,77,19,0.000146391
1,2,60,22,4,4.8,1.71,17,2,0,1,0,4,1,0,1,25,5,2,1950,3,2,2,3,6,1,2,2,2,2,1,2.4,1,4,1,1,3,2,1,3,1,16.0,1,34,-1,30,60,9.82e-05
4,4,228,39,15,77.8,8.93,64,2,0,1,0,4,1,0,1,25,5,2,1950,3,2,2,3,6,1,2,2,2,2,1,38.9,3,4,1,1,3,2,1,3,1,97.0,1,174,-1,70,60,9.82e-05
1,2,269,6,24,89.2,26.94,180,2,0,1,0,4,1,0,1,25,5,2,1950,3,2,2,3,6,1,2,2,2,2,1,44.6,1,4,1,1,3,2,1,3,1,298.0,1,239,-1,235,60,9.82e-05
1,4,219,34,86,38.4,6.31,49,3,0,3,1,3,1,1,1,12,6,1,1949,2,3,1,6,4,2,2,2,2,2,1,38.4,1,4,1,2,4,1,1,3,1,67.0,1,99,2,55,61,0.000109132
1,3,193,112,14,15.8,3.51,40,3,-1,3,1,2,1,1,1,10,6,2,1962,2,3,2,2,4,2,2,2,2,2,1,15.8,2,4,1,4,2,3,-1,3,1,32.5,1,67,4,48,48,9.82e-05
9,1,74,38,9,7.8,1.72,22,2,0,1,0,1,1,0,1,36,3,2,1938,1,2,9,8,5,1,2,2,2,2,1,3.9,3,4,1,2,2,3,4,3,1,15.5,1,27,-1,35,72,7.71e-05
8,3,162,66,39,6.0,1.1,14,2,0,1,0,1,1,0,1,36,3,2,1938,1,2,9,8,5,1,2,2,2,2,1,3.0,3,4,1,2,2,3,4,3,1,9.0,1,57,-1,20,72,7.71e-05
10,2,84,43,1,11.0,3.28,34,2,0,1,0,1,1,0,1,36,3,2,1938,1,2,9,8,5,1,2,2,2,2,1,5.5,3,4,1,2,2,3,4,3,1,30.0,1,40,-1,50,72,7.71e-05
8,4,127,39,21,12.4,3.27,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,2,-1,12.4,3,4,1,2,1,2,2,4,1,32.0,1,67,4,24,-1,0.000288998
7,6,162,67,26,14.0,3.23,33,2,0,2,0,1,1,0,1,36,4,2,1944,1,2,9,6,3,1,2,2,2,2,1,7.0,3,4,1,2,2,2,3,4,1,34.0,1,69,5,45,66,0.000288998
7,2,151,90,25,9.6,2.29,28,2,0,2,0,1,1,0,1,36,4,2,1944,1,2,9,6,3,1,2,2,2,2,1,4.8,3,4,1,4,2,2,3,4,1,21.6,1,36,5,70,66,0.000288998
7,2,176,86,6,11.0,3.13,30,4,2,2,1,3,1,-1,1,2,4,2,1971,2,3,6,3,6,2,2,2,2,2,1,11.0,3,4,1,2,4,2,3,3,1,29.0,1,84,4,35,39,0.000232084
7,4,143,60,17,11.0,3.34,34,4,2,2,1,3,1,-1,1,2,4,2,1971,2,3,6,3,6,2,2,2,2,2,1,11.0,3,4,1,2,4,2,3,3,1,30.0,1,66,4,30,39,0.000232084
1,4,185,58,34,43.2,8.22,61,4,2,2,1,3,1,-1,1,2,4,1,1968,2,3,1,2,7,2,2,2,2,2,1,43.2,2,4,1,2,4,1,2,3,1,88.0,1,93,4,70,42,0.000160139
1,3,142,52,30,26.0,5.2,42,3,1,1,-1,2,1,-1,1,3,4,2,1975,2,3,1,6,4,2,2,2,2,2,1,26.0,2,4,1,2,4,2,2,3,1,58.0,1,60,3,60,35,0.000232084
4,3,108,42,5,11.0,1.28,18,3,1,1,-1,2,1,-1,1,3,4,2,1975,2,3,1,6,4,2,2,2,2,2,1,11.0,3,4,1,2,4,2,2,3,1,12.5,1,61,3,30,35,0.000232084
7,6,189,91,18,15.8,3.02,36,2,-1,1,-1,1,2,-1,1,38,2,1,1932,2,2,9,2,7,2,2,2,2,2,1,15.8,3,4,1,3,-1,-1,-1,4,1,27.0,1,80,4,46,78,0.000125765
1,4,108,39,15,9.6,2.37,23,5,3,1,1,2,1,0,1,10,4,1,1966,3,3,1,6,4,2,2,2,2,2,2,9.6,2,4,1,2,3,3,3,3,1,25.0,1,54,3,355,44,0.000109132
1,4,102,38,18,9.6,2.6,24,5,3,1,1,2,1,0,1,10,4,1,1966,3,3,1,6,4,2,2,2,2,2,2,9.6,1,4,1,2,3,3,3,3,1,27.0,1,46,3,19,44,0.000109132
8,2,77,45,8,6.0,1.4,18,5,3,1,1,2,1,-1,1,10,4,2,1974,2,3,2,6,3,2,2,2,2,2,1,6.0,3,4,1,2,3,1,1,3,1,14.0,1,24,8,20,36,0.00087004
4,0,9,9,0,0.0,0.05,0,5,1,2,-1,5,1,-1,1,4,5,2,1969,2,3,1,6,3,1,2,2,2,2,1,2.2,3,4,1,1,3,2,3,2,1,0.2,1,0,5,12,41,0.000367986
8,0,16,5,0,3.0,0.26,3,5,1,2,-1,5,1,-1,1,4,5,2,1969,2,3,1,6,3,1,2,2,2,2,1,2.2,3,4,1,1,3,2,3,2,1,3.0,1,11,5,10,41,0.000367986
1,4,66,62,20,9.6,1.68,16,2,0,2,0,1,1,1,2,4,5,1,1983,2,2,1,6,3,2,2,2,2,2,1,9.6,2,4,1,2,3,-1,2,3,1,17.0,1,-1,3,35,27,0.000967286
9,5,124,41,27,12.4,4.66,46,1,0,1,0,2,2,0,2,5,1,2,1945,2,1,9,4,6,2,2,2,2,2,1,12.4,3,4,1,2,2,2,3,4,1,50.5,1,56,4,29,65,7.71e-05
3,2,91,42,11,9.6,2.06,22,4,1,1,1,5,1,0,1,16,5,1,1993,2,6,8,6,2,2,1,2,2,2,3,0.0,1,4,1,2,4,2,2,1,1,22.5,0,38,3,90,17,0.002440844
4,1,138,93,18,9.6,0.92,12,4,1,1,1,5,1,0,1,23,5,2,1967,2,3,2,6,3,2,2,2,2,2,1,9.6,3,4,1,2,3,2,2,3,1,10.5,1,27,5,60,43,0.000367986
10,3,130,63,17,9.6,1.91,20,4,1,1,1,5,1,0,1,23,5,2,1967,2,3,2,6,3,2,2,2,2,2,1,9.6,3,4,1,2,3,2,2,3,1,20.5,1,50,5,40,43,0.000367986
9,1,53,21,0,5.6,0.11,1,4,1,2,0,5,1,3,1,24,6,1,1960,2,3,1,1,8,1,2,2,2,2,1,2.8,3,4,1,1,4,1,1,4,1,0.7,0,32,2,15,50,0.000160139
5,5,162,33,21,42.0,10.03,85,4,1,2,0,5,1,3,1,24,6,1,1960,2,3,1,1,8,1,2,2,2,2,1,21.0,-1,4,1,1,4,1,1,4,1,109.0,1,108,2,80,50,0.000160139
1,4,104,30,11,11.0,3.23,35,2,0,2,0,2,1,2,1,2,6,2,1982,2,2,2,6,7,2,2,2,2,2,1,11.0,1,4,1,2,3,1,1,3,1,31.0,1,63,3,50,28,0.000340556
1,4,279,38,38,46.2,10.71,117,2,0,2,0,2,1,2,1,2,6,1,1981,2,2,2,6,6,2,2,2,2,2,1,46.2,1,4,1,2,3,2,1,1,1,109.0,1,203,8,95,29,0.000258025
9,4,127,25,58,12.4,2.43,31,2,0,2,0,2,1,2,1,2,6,1,1981,2,2,2,6,6,2,2,2,2,2,1,12.4,-1,4,1,2,3,2,1,1,1,24.0,1,44,8,30,29,0.000258025
1,4,151,52,10,13.2,4.11,44,4,2,1,1,1,1,0,2,11,3,1,1979,3,3,2,6,2,2,2,2,1,2,2,0.0,2,4,1,3,3,2,2,1,1,38.5,0,89,3,180,31,0.003869639
4,4,102,38,17,9.6,1.56,14,4,2,1,1,1,1,0,2,11,3,2,1969,1,3,3,3,3,1,2,2,2,2,1,4.8,3,4,1,2,3,2,2,2,1,16.5,1,47,4,35,41,0.000367986
7,1,82,49,13,6.0,1.03,12,4,2,1,1,1,1,0,2,11,3,2,1969,1,3,3,3,3,1,2,2,2,2,1,3.0,3,4,1,2,3,2,2,2,1,11.0,1,20,4,20,41,0.000367986
1,4,105,24,18,11.0,3.23,29,3,1,2,0,2,1,1,2,3,5,1,1973,2,3,1,3,7,2,2,2,2,2,1,11.0,1,4,1,2,3,2,2,2,1,31.0,1,63,3,50,37,0.000378621
1,7,251,53,59,65.8,11.14,76,3,1,2,0,1,1,1,2,4,5,2,1971,2,3,2,6,4,2,2,2,2,2,1,65.8,2,4,1,2,3,3,3,3,1,119.0,1,139,8,74,39,0.000232084
3,2,166,120,5,12.6,3.03,41,0,0,1,1,1,1,0,2,2,4,1,1971,2,1,1,3,6,2,2,2,2,2,1,12.6,2,4,1,3,4,1,1,1,1,30.0,1,41,3,75,39,0.000258025
4,3,105,27,12,20.4,4.73,45,2,-1,2,-1,-1,2,0,1,42,3,1,1935,2,2,9,7,3,1,2,2,2,2,1,10.2,3,4,1,4,1,2,2,3,1,49.0,1,66,-1,-1,75,0.0003213
7,4,146,45,12,32.8,6.92,55,2,-1,2,-1,-1,2,0,1,42,3,1,1935,2,2,9,7,3,1,2,2,2,2,1,16.4,3,4,1,2,1,2,2,3,1,72.0,1,89,-1,95,75,0.0003213
8,4,141,46,8,14.4,3.4,36,2,-1,1,0,2,1,0,1,28,4,1,1958,3,1,1,4,3,2,2,2,2,2,1,14.4,-1,4,1,3,1,2,2,1,1,32.0,1,87,3,50,52,0.000409116
1,2,58,20,4,4.8,1.69,16,4,0,3,1,4,1,2,2,15,4,1,1974,2,3,1,6,3,2,2,2,2,2,1,4.8,1,4,1,1,3,3,1,2,1,16.0,1,34,3,20,36,0.000967286
7,1,51,22,13,4.8,0.85,16,4,0,3,1,4,1,2,2,15,4,1,1974,2,3,1,6,3,2,2,2,2,2,1,4.8,3,4,1,1,3,3,1,2,1,8.5,1,16,3,10,36,0.000967286
3,1,44,19,0,4.8,1.56,15,4,0,3,1,4,1,2,2,15,4,1,1974,2,3,1,6,3,2,2,2,2,2,1,4.8,1,4,1,1,3,3,1,2,1,14.0,1,25,3,30,36,0.000967286
4,2,81,9,45,12.4,1.67,15,4,0,3,1,4,1,2,2,15,4,2,1959,2,3,2,5,3,1,2,2,2,2,1,6.2,3,4,1,1,3,3,2,2,1,18.0,1,27,2,20,51,0.000367986
8,0,19,13,0,3.0,0.29,3,4,0,3,1,4,1,2,2,15,4,2,1959,2,3,2,5,3,1,2,2,2,2,1,2.2,3,4,1,1,3,3,2,2,1,3.0,1,6,2,7,51,0.000367986
6,2,49,15,2,4.8,1.69,16,4,0,3,1,4,1,2,2,15,4,2,1959,2,3,2,5,3,1,2,2,2,2,1,2.4,3,4,1,1,3,3,2,2,1,16.0,1,32,2,35,51,0.000367986
3,4,90,28,8,11.0,3.3,35,3,0,2,0,3,1,0,1,-1,-1,1,1991,2,6,8,-1,-1,1,2,2,1,2,-1,5.5,1,4,1,2,4,2,2,4,1,31.0,0,54,3,115,19,0.000610133
1,2,45,17,0,4.8,1.5,15,2,-1,1,-1,1,1,-1,1,20,6,1,1957,2,1,2,8,5,1,2,2,2,2,1,2.4,1,4,1,1,1,2,3,3,1,15.0,1,28,5,25,53,0.000109132
1,4,222,80,34,49.6,6.32,55,4,2,2,1,4,1,1,1,13,4,2,1966,2,3,2,8,3,2,2,2,2,2,1,49.6,1,4,1,2,4,2,1,3,1,69.0,1,108,4,55,44,0.000367986
4,1,99,79,3,5.6,1.23,16,4,2,2,1,4,1,1,1,13,4,2,1966,2,3,2,8,3,2,2,2,2,2,1,5.6,3,4,1,2,4,2,1,3,1,13.0,1,17,4,33,44,0.000367986
8,0,65,60,0,5.4,0.42,5,4,2,2,1,4,1,1,1,13,4,2,1966,2,3,2,8,3,2,2,2,2,2,1,5.4,3,4,1,2,4,2,1,3,1,3.8,1,5,4,19,44,0.000367986
8,8,306,78,45,20.2,7.6,92,4,2,2,0,1,1,1,2,44,4,2,1965,2,3,2,6,3,2,2,2,2,2,1,20.2,-1,4,1,5,3,1,1,3,1,82.5,1,183,2,135,45,0.000367986
1,3,120,70,4,12.2,2.69,39,1,-1,1,0,1,1,-1,1,1,3,1,1965,2,1,1,8,5,1,2,2,2,2,1,6.1,2,4,1,3,4,2,2,3,1,22.5,1,46,4,50,45,0.000109132
4,1,67,28,4,4.8,0.76,10,2,0,1,0,1,1,0,1,45,2,1,1928,1,7,9,8,3,2,2,2,2,2,1,4.8,3,4,1,1,3,-1,-1,3,1,8.0,1,35,-1,30,82,0.000758481
2,1,57,30,5,4.8,1.5,18,2,0,1,0,1,1,0,1,45,2,1,1928,1,7,9,8,3,2,2,2,2,2,1,4.8,1,4,1,1,3,-1,-1,3,1,15.0,1,22,-1,30,82,0.000758481
1,2,57,22,2,4.8,1.39,17,3,1,2,0,3,1,0,1,44,5,1,1955,2,3,1,6,5,1,2,2,2,2,1,2.4,1,4,1,1,4,1,2,2,1,15.0,1,33,5,22,55,0.000109132
4,0,26,23,0,2.6,2.31,32,3,1,2,0,3,1,0,1,44,5,1,1955,2,3,1,6,5,1,2,2,2,2,1,2.2,3,4,1,1,4,1,2,2,1,25.0,1,3,5,7,55,0.000109132
4,0,10,10,0,0.0,0.05,0,3,1,2,0,3,1,0,1,44,5,1,1955,2,3,1,6,5,1,2,2,2,2,1,2.2,3,4,1,1,4,1,2,2,1,0.4,1,0,5,5,55,0.000109132
1,1,66,35,2,3.0,1.22,16,3,1,2,0,3,1,0,1,44,5,1,1955,2,3,1,6,5,1,2,2,2,2,1,2.2,1,4,1,1,4,1,2,2,1,12.0,1,29,5,-1,55,0.000109132
7,0,42,38,0,2.6,0.25,3,3,1,2,0,3,1,0,1,44,5,1,1955,2,3,1,6,5,1,2,2,2,2,1,2.2,3,4,1,1,4,1,2,2,1,2.0,1,4,5,10,55,0.000109132
