DestAct,NbTransf,NbHousehold,NbCar,NbMoto,NbComp,Internet,NbSmartPhone,HouseType,YearsInHouse,Income,Gender,Mothertongue,FamilSitu,OccupStat,SocioProfCat,Education,HalfFareST,LineRelST,GenAbST,AreaRelST,OtherST,CarAvail,TripPurpose,TypeCommune,frequency,NbTrajects,FreqCarPar,FreqTrainPar,FreqOtherPar,FreqTripHouseh,Region,distance_km,Choice,ModeToSchool,age
1,5,4,3,2,3,1,1,1,5,5,1,1,3,1,1,3,2,2,2,2,2,1,-1,4,1,3,2,2,3,3,1,14.2,1,1,53
8,5,2,2,0,1,1,0,1,32,3,1,1,2,9,3,6,1,2,2,2,2,1,3,4,1,3,1,1,1,3,1,31.0,1,4,71
1,4,4,2,1,1,1,1,1,7,6,2,1,3,2,6,5,1,2,2,2,1,1,2,4,1,4,1,4,4,3,1,31.0,1,4,46
9,0,4,2,1,1,1,1,1,7,6,2,1,3,2,6,5,1,2,2,2,1,1,3,4,1,2,1,4,4,3,1,1.4,1,4,46
8,2,3,1,0,1,1,0,1,8,3,2,2,4,2,4,3,2,2,2,2,2,1,3,4,1,3,3,2,2,3,1,22.5,1,8,42
8,0,3,1,0,1,1,0,1,8,3,2,2,4,2,4,3,2,2,2,2,2,1,3,4,1,1,3,2,2,3,1,0.4,2,8,42
4,2,2,1,0,0,2,0,1,35,2,1,2,2,9,5,2,2,2,2,2,2,1,3,4,1,1,-1,-1,-1,-1,1,3.5,1,3,70
8,0,2,1,0,0,2,0,1,35,2,1,2,2,9,5,2,2,2,2,2,2,1,3,4,1,1,-1,-1,-1,-1,1,0.7,2,3,70
10,0,2,1,0,0,2,0,1,35,2,1,2,2,9,5,2,2,2,2,2,2,1,3,4,1,1,-1,-1,-1,-1,1,1.1,2,3,70
4,2,4,2,1,2,1,2,1,2,5,1,3,1,1,3,3,2,2,2,2,2,1,3,4,1,2,4,1,1,3,1,16.5,1,4,34
4,5,4,2,1,2,1,2,1,2,5,1,3,1,1,3,3,2,2,2,2,2,1,3,4,1,2,4,1,1,3,1,54.0,1,4,34
1,5,2,2,0,1,1,0,1,2,6,1,2,2,1,2,7,2,2,2,2,2,1,2,4,1,3,4,2,1,3,1,32.5,1,3,37
1,5,4,2,1,3,1,0,1,15,5,2,2,3,2,6,5,1,2,2,2,2,1,2,4,1,4,2,2,2,3,1,51.5,1,3,52
1,4,4,2,1,3,1,0,1,15,5,2,2,3,2,6,5,1,2,2,2,2,1,2,4,1,3,2,2,2,3,1,27.0,1,3,52
4,3,4,2,-1,2,1,4,1,10,4,2,2,3,2,6,3,2,2,2,2,2,1,3,4,1,1,1,2,1,2,1,4.5,1,3,39
8,3,4,2,-1,2,1,4,1,10,4,2,2,3,2,6,3,2,2,2,2,2,1,3,4,1,1,1,2,1,2,1,3.0,1,3,39
9,2,2,2,-1,2,1,1,1,22,4,1,2,2,9,8,6,1,2,2,2,2,1,3,4,1,1,-1,-1,-1,4,1,5.5,1,4,69
4,1,2,2,-1,2,1,1,1,22,4,1,2,2,9,8,6,1,2,2,2,2,1,3,4,1,1,-1,-1,-1,4,1,15.0,1,4,69
8,4,2,2,-1,2,1,-1,1,22,4,2,2,2,9,8,5,1,2,2,2,2,1,3,4,1,2,-1,2,-1,4,1,27.5,1,-1,67
7,3,2,2,0,2,1,0,1,17,5,1,2,2,9,2,6,2,2,2,2,2,1,3,4,1,1,2,1,3,3,1,16.0,1,4,59
4,2,2,2,0,2,1,0,1,17,5,1,2,2,9,2,6,2,2,2,2,2,1,3,4,1,1,2,1,3,3,1,6.5,1,4,59
3,3,5,2,0,3,1,1,1,20,4,2,2,6,8,8,4,1,1,2,2,2,3,1,4,1,2,4,-1,-1,-1,1,29.0,0,3,19
1,2,2,1,0,4,1,0,1,25,5,2,3,2,2,3,6,1,2,2,2,2,1,1,4,1,1,3,2,1,3,1,16.0,1,-1,60
4,4,2,1,0,4,1,0,1,25,5,2,3,2,2,3,6,1,2,2,2,2,1,3,4,1,1,3,2,1,3,1,97.0,1,-1,60
1,2,2,1,0,4,1,0,1,25,5,2,3,2,2,3,6,1,2,2,2,2,1,1,4,1,1,3,2,1,3,1,298.0,1,-1,60
1,4,3,3,1,3,1,1,1,12,6,1,2,3,1,6,4,2,2,2,2,2,1,1,4,1,2,4,1,1,3,1,67.0,1,2,61
1,3,3,3,1,2,1,1,1,10,6,2,2,3,2,2,4,2,2,2,2,2,1,2,4,1,4,2,3,-1,3,1,32.5,1,4,48
9,1,2,1,0,1,1,0,1,36,3,2,1,2,9,8,5,1,2,2,2,2,1,3,4,1,2,2,3,4,3,1,15.5,1,-1,72
8,3,2,1,0,1,1,0,1,36,3,2,1,2,9,8,5,1,2,2,2,2,1,3,4,1,2,2,3,4,3,1,9.0,1,-1,72
10,2,2,1,0,1,1,0,1,36,3,2,1,2,9,8,5,1,2,2,2,2,1,3,4,1,2,2,3,4,3,1,30.0,1,-1,72
8,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,2,-1,3,4,1,2,1,2,2,4,1,32.0,1,4,-1
7,6,2,2,0,1,1,0,1,36,4,2,1,2,9,6,3,1,2,2,2,2,1,3,4,1,2,2,2,3,4,1,34.0,1,5,66
7,2,2,2,0,1,1,0,1,36,4,2,1,2,9,6,3,1,2,2,2,2,1,3,4,1,4,2,2,3,4,1,21.6,1,5,66
7,2,4,2,1,3,1,-1,1,2,4,2,2,3,6,3,6,2,2,2,2,2,1,3,4,1,2,4,2,3,3,1,29.0,1,4,39
7,4,4,2,1,3,1,-1,1,2,4,2,2,3,6,3,6,2,2,2,2,2,1,3,4,1,2,4,2,3,3,1,30.0,1,4,39
1,4,4,2,1,3,1,-1,1,2,4,1,2,3,1,2,7,2,2,2,2,2,1,2,4,1,2,4,1,2,3,1,88.0,1,4,42
1,3,3,1,-1,2,1,-1,1,3,4,2,2,3,1,6,4,2,2,2,2,2,1,2,4,1,2,4,2,2,3,1,58.0,1,3,35
4,3,3,1,-1,2,1,-1,1,3,4,2,2,3,1,6,4,2,2,2,2,2,1,3,4,1,2,4,2,2,3,1,12.5,1,3,35
7,6,2,1,-1,1,2,-1,1,38,2,1,2,2,9,2,7,2,2,2,2,2,1,3,4,1,3,-1,-1,-1,4,1,27.0,1,4,78
1,4,5,1,1,2,1,0,1,10,4,1,3,3,1,6,4,2,2,2,2,2,2,2,4,1,2,3,3,3,3,1,25.0,1,3,44
1,4,5,1,1,2,1,0,1,10,4,1,3,3,1,6,4,2,2,2,2,2,2,1,4,1,2,3,3,3,3,1,27.0,1,3,44
8,2,5,1,1,2,1,-1,1,10,4,2,2,3,2,6,3,2,2,2,2,2,1,3,4,1,2,3,1,1,3,1,14.0,1,8,36
4,0,5,2,-1,5,1,-1,1,4,5,2,2,3,1,6,3,1,2,2,2,2,1,3,4,1,1,3,2,3,2,1,0.2,1,5,41
8,0,5,2,-1,5,1,-1,1,4,5,2,2,3,1,6,3,1,2,2,2,2,1,3,4,1,1,3,2,3,2,1,3.0,1,5,41
1,4,2,2,0,1,1,1,2,4,5,1,2,2,1,6,3,2,2,2,2,2,1,2,4,1,2,3,-1,2,3,1,17.0,1,3,27
9,5,1,1,0,2,2,0,2,5,1,2,2,1,9,4,6,2,2,2,2,2,1,3,4,1,2,2,2,3,4,1,50.5,1,4,65
3,2,4,1,1,5,1,0,1,16,5,1,2,6,8,6,2,2,1,2,2,2,3,1,4,1,2,4,2,2,1,1,22.5,0,3,17
4,1,4,1,1,5,1,0,1,23,5,2,2,3,2,6,3,2,2,2,2,2,1,3,4,1,2,3,2,2,3,1,10.5,1,5,43
10,3,4,1,1,5,1,0,1,23,5,2,2,3,2,6,3,2,2,2,2,2,1,3,4,1,2,3,2,2,3,1,20.5,1,5,43
9,1,4,2,0,5,1,3,1,24,6,1,2,3,1,1,8,1,2,2,2,2,1,3,4,1,1,4,1,1,4,1,0.7,0,2,50
5,5,4,2,0,5,1,3,1,24,6,1,2,3,1,1,8,1,2,2,2,2,1,-1,4,1,1,4,1,1,4,1,109.0,1,2,50
1,4,2,2,0,2,1,2,1,2,6,2,2,2,2,6,7,2,2,2,2,2,1,1,4,1,2,3,1,1,3,1,31.0,1,3,28
1,4,2,2,0,2,1,2,1,2,6,1,2,2,2,6,6,2,2,2,2,2,1,1,4,1,2,3,2,1,1,1,109.0,1,8,29
9,4,2,2,0,2,1,2,1,2,6,1,2,2,2,6,6,2,2,2,2,2,1,-1,4,1,2,3,2,1,1,1,24.0,1,8,29
1,4,4,1,1,1,1,0,2,11,3,1,3,3,2,6,2,2,2,2,1,2,2,2,4,1,3,3,2,2,1,1,38.5,0,3,31
4,4,4,1,1,1,1,0,2,11,3,2,1,3,3,3,3,1,2,2,2,2,1,3,4,1,2,3,2,2,2,1,16.5,1,4,41
7,1,4,1,1,1,1,0,2,11,3,2,1,3,3,3,3,1,2,2,2,2,1,3,4,1,2,3,2,2,2,1,11.0,1,4,41
1,4,3,2,0,2,1,1,2,3,5,1,2,3,1,3,7,2,2,2,2,2,1,1,4,1,2,3,2,2,2,1,31.0,1,3,37
1,7,3,2,0,1,1,1,2,4,5,2,2,3,2,6,4,2,2,2,2,2,1,2,4,1,2,3,3,3,3,1,119.0,1,8,39
3,2,0,1,1,1,1,0,2,2,4,1,2,1,1,3,6,2,2,2,2,2,1,2,4,1,3,4,1,1,1,1,30.0,1,3,39
4,3,2,2,-1,-1,2,0,1,42,3,1,2,2,9,7,3,1,2,2,2,2,1,3,4,1,4,1,2,2,3,1,49.0,1,-1,75
7,4,2,2,-1,-1,2,0,1,42,3,1,2,2,9,7,3,1,2,2,2,2,1,3,4,1,2,1,2,2,3,1,72.0,1,-1,75
8,4,2,1,0,2,1,0,1,28,4,1,3,1,1,4,3,2,2,2,2,2,1,-1,4,1,3,1,2,2,1,1,32.0,1,3,52
1,2,4,3,1,4,1,2,2,15,4,1,2,3,1,6,3,2,2,2,2,2,1,1,4,1,1,3,3,1,2,1,16.0,1,3,36
7,1,4,3,1,4,1,2,2,15,4,1,2,3,1,6,3,2,2,2,2,2,1,3,4,1,1,3,3,1,2,1,8.5,1,3,36
3,1,4,3,1,4,1,2,2,15,4,1,2,3,1,6,3,2,2,2,2,2,1,1,4,1,1,3,3,1,2,1,14.0,1,3,36
4,2,4,3,1,4,1,2,2,15,4,2,2,3,2,5,3,1,2,2,2,2,1,3,4,1,1,3,3,2,2,1,18.0,1,2,51
8,0,4,3,1,4,1,2,2,15,4,2,2,3,2,5,3,1,2,2,2,2,1,3,4,1,1,3,3,2,2,1,3.0,1,2,51
6,2,4,3,1,4,1,2,2,15,4,2,2,3,2,5,3,1,2,2,2,2,1,3,4,1,1,3,3,2,2,1,16.0,1,2,51
3,4,3,2,0,3,1,0,1,-1,-1,1,2,6,8,-1,-1,1,2,2,1,2,-1,1,4,1,2,4,2,2,4,1,31.0,0,3,19
1,2,2,1,-1,1,1,-1,1,20,6,1,2,1,2,8,5,1,2,2,2,2,1,1,4,1,1,1,2,3,3,1,15.0,1,5,53
1,4,4,2,1,4,1,1,1,13,4,2,2,3,2,8,3,2,2,2,2,2,1,1,4,1,2,4,2,1,3,1,69.0,1,4,44
4,1,4,2,1,4,1,1,1,13,4,2,2,3,2,8,3,2,2,2,2,2,1,3,4,1,2,4,2,1,3,1,13.0,1,4,44
8,0,4,2,1,4,1,1,1,13,4,2,2,3,2,8,3,2,2,2,2,2,1,3,4,1,2,4,2,1,3,1,3.8,1,4,44
8,8,4,2,0,1,1,1,2,44,4,2,2,3,2,6,3,2,2,2,2,2,1,-1,4,1,5,3,1,1,3,1,82.5,1,2,45
1,3,1,1,0,1,1,-1,1,1,3,1,2,1,1,8,5,1,2,2,2,2,1,2,4,1,3,4,2,2,3,1,22.5,1,4,45
4,1,2,1,0,1,1,0,1,45,2,1,1,7,9,8,3,2,2,2,2,2,1,3,4,1,1,3,-1,-1,3,1,8.0,1,-1,82
2,1,2,1,0,1,1,0,1,45,2,1,1,7,9,8,3,2,2,2,2,2,1,1,4,1,1,3,-1,-1,3,1,15.0,1,-1,82
1,2,3,2,0,3,1,0,1,44,5,1,2,3,1,6,5,1,2,2,2,2,1,1,4,1,1,4,1,2,2,1,15.0,1,5,55
4,0,3,2,0,3,1,0,1,44,5,1,2,3,1,6,5,1,2,2,2,2,1,3,4,1,1,4,1,2,2,1,25.0,1,5,55
4,0,3,2,0,3,1,0,1,44,5,1,2,3,1,6,5,1,2,2,2,2,1,3,4,1,1,4,1,2,2,1,0.4,1,5,55
1,1,3,2,0,3,1,0,1,44,5,1,2,3,1,6,5,1,2,2,2,2,1,1,4,1,1,4,1,2,2,1,12.0,1,5,55
7,0,3,2,0,3,1,0,1,44,5,1,2,3,1,6,5,1,2,2,2,2,1,3,4,1,1,4,1,2,2,1,2.0,1,5,55
6,2,2,2,0,1,1,0,1,14,3,2,2,2,9,6,3,2,2,2,2,2,1,3,4,1,3,1,2,3,3,1,23.5,1,4,64
7,1,4,2,-1,2,1,0,1,9,5,1,2,3,1,7,3,1,2,2,2,2,1,-1,4,1,3,4,2,3,3,1,23.5,1,4,40
2,1,4,2,-1,2,1,0,1,9,5,1,2,3,1,7,3,1,2,2,2,2,1,1,4,1,2,4,2,3,3,1,24.0,1,4,40
9,2,4,2,0,3,1,0,1,9,5,2,2,3,2,6,3,1,2,2,2,2,1,3,4,1,1,3,2,3,2,1,32.0,1,4,40
11,1,4,2,0,3,1,0,1,9,5,2,2,3,2,6,3,1,2,2,2,2,1,3,4,1,1,3,2,3,2,1,32.0,1,4,40
11,1,2,1,0,1,1,0,2,20,-1,2,2,2,9,4,6,1,2,2,2,2,1,3,4,1,2,-1,2,2,3,1,10.0,1,4,65
4,1,2,1,0,1,1,0,2,20,3,1,1,2,9,4,3,1,2,2,2,2,1,3,4,1,2,3,2,2,3,1,17.5,1,4,69
4,3,2,2,0,2,1,1,2,24,5,1,2,2,2,6,3,2,2,2,2,2,1,3,4,1,1,1,3,3,3,1,2.5,1,4,59
1,3,2,2,0,2,1,1,2,24,5,1,2,2,2,6,3,2,2,2,2,2,1,2,4,1,3,1,3,3,3,1,28.0,1,4,59
1,2,2,2,-1,1,1,2,2,25,6,1,2,2,1,3,6,2,2,2,2,2,1,2,4,1,2,2,-1,-1,1,1,6.0,1,4,63
1,3,2,2,-1,1,1,2,2,25,6,1,2,2,1,3,6,2,2,2,2,2,1,1,4,1,2,2,-1,-1,1,1,6.0,1,4,63
1,2,4,1,1,2,1,0,2,12,6,1,2,2,1,4,3,2,2,2,1,2,2,1,4,1,2,4,1,2,3,1,18.0,1,4,45
1,3,5,3,0,2,1,1,2,19,4,2,2,6,2,6,3,2,2,2,2,2,3,1,4,1,1,4,1,2,1,1,9.0,0,8,20
3,4,3,1,-1,2,1,0,1,21,3,2,2,6,8,8,5,1,2,2,1,2,2,1,4,1,2,3,2,3,1,1,32.0,0,3,22
4,0,2,2,0,1,1,0,1,29,6,2,2,2,2,6,3,2,2,2,2,2,1,3,4,1,3,1,2,2,1,1,10.0,1,-1,53
1,3,2,2,0,1,1,1,2,4,6,2,2,2,1,6,2,2,2,2,2,2,1,1,4,1,1,4,1,2,4,1,17.0,1,4,40
1,2,2,2,0,1,1,1,2,4,6,1,2,2,1,6,6,2,2,2,2,2,1,1,4,1,1,4,1,1,4,1,45.0,1,2,30
9,1,3,2,0,3,1,0,2,6,6,2,2,3,2,2,7,2,2,2,2,2,1,3,4,1,2,3,2,1,3,1,6.5,1,5,34
1,3,2,1,-1,3,1,1,2,1,4,1,2,2,1,6,5,2,2,2,1,2,2,1,4,1,2,3,2,3,4,1,25.0,0,4,25
9,2,2,1,-1,3,1,1,2,1,4,2,2,2,1,3,7,2,2,2,2,2,1,3,4,1,2,4,3,2,3,1,12.0,1,4,25
3,2,2,1,0,1,1,1,2,2,3,2,2,6,8,8,4,2,1,2,2,2,2,2,4,1,3,4,2,3,1,1,23.5,0,3,20
8,5,4,2,0,5,1,2,1,14,6,1,2,3,1,1,8,1,2,2,2,2,1,3,4,1,2,4,1,1,3,1,22.0,1,3,44
1,6,4,2,0,3,1,1,1,14,5,2,1,3,2,3,7,1,2,2,2,2,1,1,4,1,3,3,2,2,3,1,28.8,1,6,41
10,0,4,2,1,2,1,-1,1,7,3,2,2,3,2,5,4,2,2,2,2,2,1,3,4,1,2,3,-1,2,3,1,17.5,1,4,52
1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,2,-1,1,4,1,2,-2,-2,-2,-2,1,18.5,1,-2,-1
8,5,6,2,0,3,1,1,1,7,5,2,2,3,2,4,7,2,2,2,2,2,1,3,4,1,3,3,2,3,3,1,23.0,1,4,35
8,1,6,2,0,3,1,1,1,7,5,2,2,3,2,4,7,2,2,2,2,2,1,3,4,1,2,3,2,3,3,1,5.1,1,4,35
1,4,2,1,0,1,1,0,1,1,6,1,2,2,1,3,7,1,2,2,2,2,1,2,4,1,2,3,2,3,3,1,208.0,1,3,44
1,5,2,1,0,1,1,0,1,1,6,2,3,2,1,6,7,1,2,2,2,2,3,2,4,1,2,2,1,3,3,1,68.0,0,3,33
4,0,2,1,0,1,1,0,1,35,4,1,2,2,9,6,3,2,2,2,2,2,1,3,4,1,2,3,2,4,3,1,14.5,1,-1,70
6,6,2,1,0,1,1,0,1,35,4,1,2,2,9,6,3,2,2,2,2,2,1,3,4,1,2,3,2,4,3,1,102.0,1,-1,70
4,0,3,2,1,3,1,1,1,5,6,-1,-1,-1,-1,-1,-1,2,2,2,2,2,-1,3,4,1,5,2,2,3,3,1,31.5,1,3,-1
2,8,2,2,1,1,1,0,1,1,5,1,2,2,1,5,3,2,2,2,2,2,1,-1,4,1,7,3,1,2,4,1,206.0,1,-1,51
1,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,2,-1,2,4,1,5,-2,-2,-2,-2,1,159.0,1,-2,-1
1,2,2,2,1,1,1,0,1,2,5,2,2,2,1,6,4,1,2,2,2,2,1,2,4,1,2,4,1,1,3,1,10.9,1,-1,43
11,0,2,2,0,1,1,0,1,36,6,1,2,2,9,1,5,2,2,2,2,2,1,3,4,1,1,-1,-1,-1,4,1,12.0,1,4,75
1,6,4,2,1,1,1,0,1,9,6,1,2,3,1,6,6,1,2,2,2,2,1,-1,4,1,4,4,1,1,4,1,37.0,1,4,47
1,0,4,2,1,1,1,-1,1,9,6,2,2,3,2,3,6,2,2,2,2,2,1,-1,4,1,4,3,1,1,3,1,11.5,1,3,40
11,1,2,1,0,0,2,0,1,45,4,1,2,2,9,-1,3,1,2,2,2,2,1,3,4,1,4,-1,2,2,3,1,26.5,1,4,79
7,0,2,2,0,1,1,0,1,36,3,2,2,2,9,8,4,1,2,2,2,2,1,3,4,1,1,1,3,3,3,1,9.5,1,3,77
7,1,2,2,0,1,1,0,1,36,3,2,2,2,9,8,4,1,2,2,2,2,1,3,4,1,1,1,3,3,3,1,9.5,0,3,77
7,0,2,2,0,1,1,0,1,36,3,2,2,2,9,8,4,1,2,2,2,2,1,3,4,1,1,1,3,3,3,1,5.5,1,3,77
7,3,2,2,0,1,1,0,1,36,3,2,2,2,9,8,4,1,2,2,2,2,1,3,4,1,1,1,3,3,3,1,22.0,0,3,77
1,4,2,2,0,2,1,0,3,2,4,2,-1,2,1,6,7,1,2,2,2,2,1,2,4,1,2,3,-1,-1,4,1,44.0,1,-1,29
4,0,2,2,0,2,1,0,3,2,4,2,-1,2,1,6,7,1,2,2,2,2,1,3,4,1,2,3,-1,-1,4,1,13.0,1,-1,29
10,1,2,2,0,2,1,0,3,4,4,1,-1,2,1,6,8,1,2,2,2,2,1,3,4,1,2,4,2,1,4,1,25.0,1,3,30
1,0,3,2,0,2,2,0,2,13,4,1,3,3,1,6,2,2,2,2,2,2,1,1,4,1,2,-1,-1,2,3,1,23.0,1,3,39
1,1,3,2,0,2,2,0,2,38,4,2,2,3,2,6,6,2,2,2,2,2,1,1,4,1,2,4,-1,-1,3,1,18.0,1,3,41
2,2,2,2,0,2,1,0,1,-1,2,1,2,2,4,3,6,2,2,2,2,2,1,2,4,1,3,3,2,2,1,1,28.5,1,5,74
4,4,2,2,0,2,1,0,1,11,2,2,2,2,9,-1,5,2,2,2,2,2,1,3,4,1,3,3,2,3,3,1,27.5,1,4,71
4,0,2,2,0,2,1,0,1,11,2,2,2,2,9,-1,5,2,2,2,2,2,1,3,4,1,1,3,2,3,3,1,5.5,1,4,71
1,0,3,1,1,1,1,0,1,10,5,1,2,3,1,1,3,2,2,2,2,2,2,1,4,1,2,2,1,3,4,1,19.0,1,6,48
1,1,3,1,1,1,1,0,1,10,5,1,2,3,1,1,3,2,2,2,2,2,2,1,4,1,1,2,1,3,4,1,9.5,1,6,48
1,0,2,2,-1,2,1,-1,1,29,4,1,1,3,1,1,4,2,2,2,2,2,1,2,4,1,2,1,2,2,4,1,4.1,1,4,63
2,7,2,2,-1,2,1,-1,1,29,4,1,1,3,1,1,4,2,2,2,2,2,1,2,4,1,4,1,2,2,4,1,42.0,1,4,63
4,2,2,2,-1,2,1,-1,1,30,3,1,1,2,5,8,3,2,2,2,2,2,1,3,4,1,1,4,1,1,4,1,9.0,1,-1,61
4,0,2,2,-1,2,1,-1,1,30,3,1,1,2,5,8,3,2,2,2,2,2,1,3,4,1,1,4,1,1,4,1,9.5,1,-1,61
1,10,5,2,0,3,1,0,1,10,6,2,2,3,2,3,7,2,2,2,2,2,1,2,4,1,4,3,2,2,3,1,134.0,1,4,46
4,2,2,1,0,1,1,0,1,35,3,1,2,2,9,8,6,1,2,2,2,2,1,3,4,1,2,1,2,3,1,1,18.5,1,5,77
